no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets,loan_income_ratio,asset_coverage_ratio,income_per_dependent,wealth_cibil_score,loan_status
0,0,1,6800000,14400000,8,812,47200000.0,2.1176470588235294,3.2777777777777777,6800000.0,38326400000.0,1
4,1,1,5100000,14000000,12,459,27000000.0,2.7450980392156863,1.9285714285714286,1020000.0,12393000000.0,0
0,1,1,9800000,32600000,10,704,54000000.0,3.326530612244898,1.656441717791411,9800000.0,38016000000.0,1
1,1,1,1600000,4100000,6,391,12100000.0,2.5625,2.951219512195122,800000.0,4731100000.0,0
4,1,0,8000000,29100000,4,421,50900000.0,3.6375,1.7491408934707904,1600000.0,21428900000.0,1
5,1,0,2900000,6700000,14,796,21400000.0,2.310344827586207,3.1940298507462686,483333.3333333333,17034400000.0,1
4,1,0,9200000,30300000,10,607,79100000.0,3.2934782608695654,2.6105610561056105,1840000.0,48013700000.0,1
3,0,0,9500000,20400000,14,376,43200000.0,2.1473684210526316,2.1176470588235294,2375000.0,16243200000.0,0
0,1,1,3700000,8500000,8,424,26400000.0,2.2972972972972974,3.1058823529411765,3700000.0,11193600000.0,0
5,1,1,7100000,20800000,6,442,45300000.0,2.9295774647887325,2.1778846153846154,1183333.3333333333,20022600000.0,0
5,0,0,5600000,17600000,14,448,35900000.0,3.142857142857143,2.039772727272727,933333.3333333334,16083200000.0,0
0,1,1,1200000,2700000,2,638,6200000.0,2.25,2.2962962962962963,1200000.0,3955600000.0,1
3,0,0,1600000,5600000,6,710,11500000.0,3.5,2.0535714285714284,400000.0,8165000000.0,1
4,0,1,1600000,4800000,20,641,10700000.0,3.0,2.2291666666666665,320000.0,6858700000.0,1
2,0,0,5300000,20200000,10,348,42100000.0,3.811320754716981,2.0841584158415842,1766666.6666666667,14650800000.0,0
5,0,0,9100000,19900000,20,519,65100000.0,2.1868131868131866,3.271356783919598,1516666.6666666667,33786900000.0,0
4,0,1,9400000,35000000,10,517,60000000.0,3.723404255319149,1.7142857142857142,1880000.0,31020000000.0,0
3,0,0,5900000,22400000,6,375,39900000.0,3.7966101694915255,1.78125,1475000.0,14962500000.0,0
2,1,1,1100000,3400000,10,426,6400000.0,3.090909090909091,1.8823529411764706,366666.6666666667,2726400000.0,0
4,1,1,3100000,11500000,14,785,19600000.0,3.7096774193548385,1.7043478260869565,620000.0,15386000000.0,1
4,0,0,2200000,8600000,20,373,12700000.0,3.909090909090909,1.4767441860465116,440000.0,4737100000.0,0
1,1,0,6000000,20100000,6,476,44600000.0,3.35,2.218905472636816,3000000.0,21229600000.0,0
1,1,1,2000000,5600000,18,320,11400000.0,2.8,2.0357142857142856,1000000.0,3648000000.0,0
4,1,0,7200000,22900000,18,657,41200000.0,3.1805555555555554,1.7991266375545851,1440000.0,27068400000.0,1
1,0,1,500000,1900000,12,868,2800000.0,3.8,1.4736842105263157,250000.0,2430400000.0,1
1,0,1,5800000,13900000,6,345,39700000.0,2.396551724137931,2.856115107913669,2900000.0,13696500000.0,0
0,0,0,200000,300000,6,472,1200000.0,1.5,4.0,200000.0,566400000.0,0
4,0,1,4600000,9500000,20,613,27800000.0,2.0652173913043477,2.9263157894736844,920000.0,17041400000.0,1
5,0,1,4600000,12800000,14,769,37300000.0,2.782608695652174,2.9140625,766666.6666666666,28683700000.0,1
1,1,0,6500000,23100000,20,741,53500000.0,3.5538461538461537,2.316017316017316,3250000.0,39643500000.0,1
4,0,1,4400000,16600000,14,889,23000000.0,3.772727272727273,1.3855421686746987,880000.0,20447000000.0,1
0,0,1,900000,3600000,10,683,6000000.0,4.0,1.6666666666666667,900000.0,4098000000.0,1
0,0,1,3200000,7400000,18,780,18600000.0,2.3125,2.5135135135135136,3200000.0,14508000000.0,1
3,1,0,600000,1100000,8,538,3000000.0,1.8333333333333333,2.727272727272727,150000.0,1614000000.0,0
1,0,0,5200000,12600000,10,721,27300000.0,2.423076923076923,2.1666666666666665,2600000.0,19683300000.0,1
3,0,1,6400000,15200000,14,467,46200000.0,2.375,3.039473684210526,1600000.0,21575400000.0,0
2,0,0,1000000,2500000,6,551,6500000.0,2.5,2.6,333333.3333333333,3581500000.0,1
2,0,0,6800000,14800000,14,803,40800000.0,2.176470588235294,2.7567567567567566,2266666.6666666665,32762400000.0,1
0,1,0,3000000,8400000,10,361,17000000.0,2.8,2.0238095238095237,3000000.0,6137000000.0,0
1,0,1,8700000,30700000,6,708,62000000.0,3.528735632183908,2.019543973941368,4350000.0,43896000000.0,1
4,1,1,8800000,20900000,18,766,76500000.0,2.375,3.660287081339713,1760000.0,58599000000.0,1
1,0,1,3900000,11500000,2,464,32500000.0,2.948717948717949,2.8260869565217392,1950000.0,15080000000.0,0
5,1,0,1700000,4300000,2,517,8100000.0,2.5294117647058822,1.8837209302325582,283333.3333333333,4187700000.0,0
3,0,1,900000,2300000,6,747,4900000.0,2.5555555555555554,2.130434782608696,225000.0,3660300000.0,1
1,0,0,7200000,24700000,6,596,37700000.0,3.4305555555555554,1.5263157894736843,3600000.0,22469200000.0,1
0,1,0,9200000,25400000,2,783,59400000.0,2.760869565217391,2.338582677165354,9200000.0,46510200000.0,1
3,0,0,5700000,19400000,2,335,45700000.0,3.4035087719298245,2.3556701030927836,1425000.0,15309500000.0,1
5,0,1,1100000,2700000,4,889,5600000.0,2.4545454545454546,2.074074074074074,183333.33333333334,4978400000.0,1
2,0,1,1100000,2200000,4,874,6200000.0,2.0,2.8181818181818183,366666.6666666667,5418800000.0,1
0,1,1,6000000,23900000,4,394,38900000.0,3.9833333333333334,1.6276150627615062,6000000.0,15326600000.0,1
2,1,1,8100000,28500000,20,420,44700000.0,3.5185185185185186,1.568421052631579,2700000.0,18774000000.0,0
2,0,1,6500000,25100000,20,848,41900000.0,3.8615384615384616,1.6693227091633467,2166666.6666666665,35531200000.0,1
0,1,1,7600000,17900000,16,788,42500000.0,2.3552631578947367,2.374301675977654,7600000.0,33490000000.0,1
1,1,0,2200000,4900000,8,509,12100000.0,2.227272727272727,2.4693877551020407,1100000.0,6158900000.0,0
4,1,1,6300000,23900000,6,899,44400000.0,3.7936507936507935,1.8577405857740585,1260000.0,39915600000.0,1
4,0,1,6700000,15800000,12,466,38600000.0,2.3582089552238807,2.4430379746835444,1340000.0,17987600000.0,0
5,1,1,1300000,4300000,2,595,6200000.0,3.3076923076923075,1.441860465116279,216666.66666666666,3689000000.0,1
1,0,0,2800000,6700000,12,322,14600000.0,2.392857142857143,2.1791044776119404,1400000.0,4701200000.0,0
3,1,0,7000000,18900000,2,691,32800000.0,2.7,1.7354497354497354,1750000.0,22664800000.0,1
3,0,1,8800000,26700000,10,379,62300000.0,3.034090909090909,2.3333333333333335,2200000.0,23611700000.0,0
0,1,0,8900000,25800000,18,531,44100000.0,2.898876404494382,1.7093023255813953,8900000.0,23417100000.0,0
5,0,0,7000000,21800000,4,631,39800000.0,3.1142857142857143,1.8256880733944953,1166666.6666666667,25113800000.0,1
0,1,1,6900000,18600000,10,330,49900000.0,2.6956521739130435,2.682795698924731,6900000.0,16467000000.0,0
5,1,0,9200000,29200000,16,383,67100000.0,3.1739130434782608,2.297945205479452,1533333.3333333333,25699300000.0,0
0,1,1,6100000,19700000,16,678,40800000.0,3.2295081967213113,2.0710659898477157,6100000.0,27662400000.0,1
1,1,1,4400000,14700000,8,894,29500000.0,3.340909090909091,2.006802721088435,2200000.0,26373000000.0,1
4,0,0,9900000,22700000,12,567,73300000.0,2.292929292929293,3.2290748898678414,1980000.0,41561100000.0,1
5,0,0,3900000,14000000,4,708,23300000.0,3.58974358974359,1.6642857142857144,650000.0,16496400000.0,1
3,1,0,6800000,21200000,2,433,42100000.0,3.1176470588235294,1.9858490566037736,1700000.0,18229300000.0,1
4,0,0,3600000,8700000,14,302,22000000.0,2.4166666666666665,2.528735632183908,720000.0,6644000000.0,0
4,1,0,700000,2600000,14,736,5000000.0,3.7142857142857144,1.9230769230769231,140000.0,3680000000.0,1
2,0,1,4000000,8500000,6,323,30600000.0,2.125,3.6,1333333.3333333333,9883800000.0,0
4,1,0,1800000,4100000,12,670,11700000.0,2.2777777777777777,2.8536585365853657,360000.0,7839000000.0,1
3,0,0,5600000,21000000,12,609,40500000.0,3.75,1.9285714285714286,1400000.0,24664500000.0,1
4,0,0,6800000,24200000,18,349,44000000.0,3.5588235294117645,1.8181818181818181,1360000.0,15356000000.0,0
5,0,1,600000,1500000,2,319,3900000.0,2.5,2.6,100000.0,1244100000.0,0
1,0,0,4200000,16200000,14,391,24600000.0,3.857142857142857,1.5185185185185186,2100000.0,9618600000.0,0
4,0,0,5000000,18700000,10,755,19800000.0,3.74,1.0588235294117647,1000000.0,14949000000.0,1
1,0,0,4100000,12200000,6,354,32700000.0,2.975609756097561,2.680327868852459,2050000.0,11575800000.0,0
3,0,1,2200000,8800000,2,877,15800000.0,4.0,1.7954545454545454,550000.0,13856600000.0,1
1,0,0,3400000,8600000,16,312,23900000.0,2.5294117647058822,2.7790697674418605,1700000.0,7456800000.0,0
0,1,0,7100000,15900000,14,746,44900000.0,2.23943661971831,2.8238993710691824,7100000.0,33495400000.0,1
3,1,0,5800000,19600000,16,313,48200000.0,3.3793103448275863,2.4591836734693877,1450000.0,15086600000.0,0
2,1,0,3400000,12900000,14,857,16500000.0,3.7941176470588234,1.2790697674418605,1133333.3333333333,14140500000.0,1
2,0,0,7700000,18300000,20,504,38000000.0,2.3766233766233764,2.0765027322404372,2566666.6666666665,19152000000.0,0
0,1,0,500000,1200000,14,556,3200000.0,2.4,2.6666666666666665,500000.0,1779200000.0,1
2,1,1,5300000,11000000,14,393,34900000.0,2.0754716981132075,3.172727272727273,1766666.6666666667,13715700000.0,0
0,1,0,4700000,14400000,14,881,37100000.0,3.0638297872340425,2.576388888888889,4700000.0,32685100000.0,1
2,1,1,4300000,12200000,14,719,27400000.0,2.8372093023255816,2.2459016393442623,1433333.3333333333,19700600000.0,1
2,1,1,900000,2500000,16,458,10100000.0,2.7777777777777777,4.04,300000.0,4625800000.0,0
4,1,0,2000000,7500000,14,857,12100000.0,3.75,1.6133333333333333,400000.0,10369700000.0,1
2,1,1,2000000,7600000,16,429,16400000.0,3.8,2.1578947368421053,666666.6666666666,7035600000.0,0
3,0,0,4100000,15900000,12,538,19200000.0,3.8780487804878048,1.2075471698113207,1025000.0,10329600000.0,0
1,0,0,6900000,14400000,10,828,53300000.0,2.0869565217391304,3.701388888888889,3450000.0,44132400000.0,1
5,1,1,2300000,6100000,6,339,18300000.0,2.652173913043478,3.0,383333.3333333333,6203700000.0,0
5,1,1,5800000,16600000,18,376,33900000.0,2.8620689655172415,2.0421686746987953,966666.6666666666,12746400000.0,0
5,0,0,8000000,30000000,14,549,39300000.0,3.75,1.31,1333333.3333333333,21575700000.0,0
3,0,1,3700000,12700000,18,587,27000000.0,3.4324324324324325,2.125984251968504,925000.0,15849000000.0,1
0,0,0,2600000,8400000,18,861,13500000.0,3.230769230769231,1.6071428571428572,2600000.0,11623500000.0,1
0,0,0,3000000,7000000,12,409,22800000.0,2.3333333333333335,3.257142857142857,3000000.0,9325200000.0,0
4,1,0,2700000,10200000,4,528,21600000.0,3.7777777777777777,2.1176470588235294,540000.0,11404800000.0,1
4,0,0,5700000,19600000,8,691,26100000.0,3.43859649122807,1.3316326530612246,1140000.0,18035100000.0,1
2,1,0,1500000,3600000,4,584,11700000.0,2.4,3.25,500000.0,6832800000.0,1
5,0,0,6800000,20000000,4,459,47400000.0,2.9411764705882355,2.37,1133333.3333333333,21756600000.0,0
1,1,1,8100000,31700000,10,755,47500000.0,3.9135802469135803,1.498422712933754,4050000.0,35862500000.0,1
3,0,1,9200000,27700000,20,688,58100000.0,3.010869565217391,2.0974729241877257,2300000.0,39972800000.0,1
1,0,1,7600000,26000000,6,384,31700000.0,3.4210526315789473,1.2192307692307693,3800000.0,12172800000.0,0
4,1,0,600000,1600000,20,869,4300000.0,2.6666666666666665,2.6875,120000.0,3736700000.0,1
1,0,1,4700000,18700000,20,445,17200000.0,3.978723404255319,0.9197860962566845,2350000.0,7654000000.0,0
0,1,0,1400000,5500000,6,393,9200000.0,3.9285714285714284,1.6727272727272726,1400000.0,3615600000.0,0
3,1,1,9400000,24600000,10,414,51600000.0,2.617021276595745,2.097560975609756,2350000.0,21362400000.0,0
2,1,0,9700000,19900000,16,395,64300000.0,2.051546391752577,3.2311557788944723,3233333.3333333335,25398500000.0,0
3,0,1,8900000,21000000,14,815,39000000.0,2.359550561797753,1.8571428571428572,2225000.0,31785000000.0,1
5,1,0,4600000,10500000,8,758,26900000.0,2.282608695652174,2.5619047619047617,766666.6666666666,20390200000.0,1
5,0,1,5600000,14500000,10,457,39900000.0,2.5892857142857144,2.7517241379310344,933333.3333333334,18234300000.0,0
0,1,1,1000000,3200000,10,854,7500000.0,3.2,2.34375,1000000.0,6405000000.0,1
3,1,0,3500000,10300000,16,324,18300000.0,2.942857142857143,1.7766990291262137,875000.0,5929200000.0,0
0,0,0,7900000,31500000,14,849,66900000.0,3.9873417721518987,2.123809523809524,7900000.0,56798100000.0,1
3,1,1,6100000,24200000,12,672,39900000.0,3.9672131147540983,1.6487603305785123,1525000.0,26812800000.0,1
3,0,1,8900000,20900000,6,859,66500000.0,2.348314606741573,3.1818181818181817,2225000.0,57123500000.0,1
4,1,0,5300000,15400000,8,584,25800000.0,2.9056603773584904,1.6753246753246753,1060000.0,15067200000.0,1
5,0,0,1300000,4800000,4,346,9800000.0,3.6923076923076925,2.0416666666666665,216666.66666666666,3390800000.0,1
3,1,0,4000000,12800000,18,635,30100000.0,3.2,2.3515625,1000000.0,19113500000.0,1
2,0,0,8700000,22700000,4,365,60400000.0,2.6091954022988504,2.66079295154185,2900000.0,22046000000.0,0
1,0,0,9500000,20000000,16,856,66800000.0,2.1052631578947367,3.34,4750000.0,57180800000.0,1
5,1,1,9000000,20000000,2,440,54200000.0,2.2222222222222223,2.71,1500000.0,23848000000.0,0
0,1,1,7300000,23300000,2,616,51500000.0,3.191780821917808,2.2103004291845494,7300000.0,31724000000.0,1
3,1,1,7400000,25700000,2,461,28800000.0,3.472972972972973,1.1206225680933852,1850000.0,13276800000.0,1
5,0,0,3100000,10800000,10,681,15700000.0,3.4838709677419355,1.4537037037037037,516666.6666666667,10691700000.0,1
2,1,0,4300000,9400000,2,485,32300000.0,2.186046511627907,3.4361702127659575,1433333.3333333333,15665500000.0,0
1,1,1,2400000,8300000,6,684,16600000.0,3.4583333333333335,2.0,1200000.0,11354400000.0,1
1,1,0,5400000,17900000,14,727,30100000.0,3.314814814814815,1.681564245810056,2700000.0,21882700000.0,1
2,0,0,1600000,5100000,6,784,9700000.0,3.1875,1.9019607843137254,533333.3333333334,7604800000.0,1
3,0,1,9900000,20400000,4,865,79200000.0,2.0606060606060606,3.8823529411764706,2475000.0,68508000000.0,1
3,0,0,5800000,20100000,18,791,34100000.0,3.4655172413793105,1.6965174129353233,1450000.0,26973100000.0,1
4,0,0,2200000,8500000,16,866,15500000.0,3.8636363636363638,1.8235294117647058,440000.0,13423000000.0,1
0,1,0,5000000,14400000,2,761,30100000.0,2.88,2.0902777777777777,5000000.0,22906100000.0,1
2,0,1,600000,2100000,18,572,2600000.0,3.5,1.2380952380952381,200000.0,1487200000.0,1
4,1,0,2200000,8600000,6,601,15600000.0,3.909090909090909,1.813953488372093,440000.0,9375600000.0,1
1,1,1,2600000,5500000,14,820,16400000.0,2.1153846153846154,2.981818181818182,1300000.0,13448000000.0,1
4,0,0,1200000,4300000,8,598,7900000.0,3.5833333333333335,1.8372093023255813,240000.0,4724200000.0,1
2,1,0,3100000,8700000,18,544,20100000.0,2.806451612903226,2.310344827586207,1033333.3333333334,10934400000.0,0
5,0,1,4600000,14500000,14,561,24500000.0,3.152173913043478,1.6896551724137931,766666.6666666666,13744500000.0,1
4,1,1,9300000,35500000,6,547,61500000.0,3.817204301075269,1.732394366197183,1860000.0,33640500000.0,0
4,1,0,6300000,13400000,2,504,45300000.0,2.126984126984127,3.3805970149253732,1260000.0,22831200000.0,0
2,0,0,5900000,20800000,14,530,34800000.0,3.5254237288135593,1.6730769230769231,1966666.6666666667,18444000000.0,0
2,1,1,2900000,10600000,6,614,12500000.0,3.6551724137931036,1.179245283018868,966666.6666666666,7675000000.0,1
4,0,0,6100000,22400000,18,351,46000000.0,3.6721311475409837,2.0535714285714284,1220000.0,16146000000.0,0
4,1,1,5900000,19700000,10,431,40500000.0,3.3389830508474576,2.0558375634517767,1180000.0,17455500000.0,0
1,0,1,4600000,18400000,10,403,29200000.0,4.0,1.5869565217391304,2300000.0,11767600000.0,0
2,0,0,7000000,20200000,8,668,56800000.0,2.8857142857142857,2.8118811881188117,2333333.3333333335,37942400000.0,1
3,0,1,5100000,10400000,18,399,37000000.0,2.0392156862745097,3.5576923076923075,1275000.0,14763000000.0,0
1,1,0,3100000,10600000,14,665,20400000.0,3.4193548387096775,1.9245283018867925,1550000.0,13566000000.0,1
2,1,0,4100000,12800000,16,344,37200000.0,3.1219512195121952,2.90625,1366666.6666666667,12796800000.0,0
0,1,0,1800000,5400000,16,555,13600000.0,3.0,2.5185185185185186,1800000.0,7548000000.0,1
4,0,1,8200000,26900000,20,301,78300000.0,3.2804878048780486,2.9107806691449816,1640000.0,23568300000.0,0
2,0,1,800000,2100000,6,726,5200000.0,2.625,2.4761904761904763,266666.6666666667,3775200000.0,1
2,1,0,8400000,23100000,6,689,39000000.0,2.75,1.6883116883116882,2800000.0,26871000000.0,1
0,0,0,8500000,33900000,4,665,43700000.0,3.988235294117647,1.289085545722714,8500000.0,29060500000.0,1
3,0,1,3300000,12700000,16,608,26900000.0,3.8484848484848486,2.1181102362204722,825000.0,16355200000.0,1
3,0,0,5800000,12800000,20,335,30700000.0,2.206896551724138,2.3984375,1450000.0,10284500000.0,0
3,0,0,4400000,10500000,18,677,19200000.0,2.3863636363636362,1.8285714285714285,1100000.0,12998400000.0,1
1,0,0,2600000,8500000,2,491,11400000.0,3.269230769230769,1.3411764705882352,1300000.0,5597400000.0,1
2,0,1,9600000,28100000,20,763,72600000.0,2.9270833333333335,2.583629893238434,3200000.0,55393800000.0,1
5,0,1,5200000,18100000,8,809,28800000.0,3.480769230769231,1.591160220994475,866666.6666666666,23299200000.0,1
5,0,1,9700000,36400000,16,544,55000000.0,3.752577319587629,1.510989010989011,1616666.6666666667,29920000000.0,0
1,1,1,200000,800000,14,624,1200000.0,4.0,1.5,100000.0,748800000.0,1
3,1,0,6500000,16800000,10,388,32400000.0,2.5846153846153848,1.9285714285714286,1625000.0,12571200000.0,0
4,1,1,7200000,23100000,14,644,39300000.0,3.2083333333333335,1.7012987012987013,1440000.0,25309200000.0,1
0,0,0,5200000,18400000,14,600,37100000.0,3.5384615384615383,2.016304347826087,5200000.0,22260000000.0,1
2,0,0,6500000,14100000,2,709,38600000.0,2.169230769230769,2.7375886524822697,2166666.6666666665,27367400000.0,1
5,1,1,2300000,5600000,8,642,15600000.0,2.4347826086956523,2.7857142857142856,383333.3333333333,10015200000.0,1
0,0,1,3300000,10400000,4,423,26900000.0,3.1515151515151514,2.5865384615384617,3300000.0,11378700000.0,1
0,0,1,2000000,5900000,12,900,16300000.0,2.95,2.76271186440678,2000000.0,14670000000.0,1
2,1,1,8300000,19500000,4,415,42000000.0,2.3493975903614457,2.1538461538461537,2766666.6666666665,17430000000.0,0
4,1,1,3800000,14300000,4,645,17900000.0,3.763157894736842,1.2517482517482517,760000.0,11545500000.0,1
0,0,0,5700000,15600000,16,742,24700000.0,2.736842105263158,1.5833333333333333,5700000.0,18327400000.0,1
4,0,0,7300000,19800000,8,724,50800000.0,2.712328767123288,2.5656565656565657,1460000.0,36779200000.0,1
1,1,0,1600000,5400000,12,707,9300000.0,3.375,1.7222222222222223,800000.0,6575100000.0,1
5,0,1,800000,2500000,4,780,3500000.0,3.125,1.4,133333.33333333334,2730000000.0,1
4,0,0,6300000,21900000,10,538,42100000.0,3.4761904761904763,1.9223744292237444,1260000.0,22649800000.0,0
2,1,0,8800000,17700000,14,706,66700000.0,2.0113636363636362,3.768361581920904,2933333.3333333335,47090200000.0,1
0,1,0,7300000,14500000,16,811,39100000.0,1.9863013698630136,2.696551724137931,7300000.0,31710100000.0,1
2,1,1,3800000,9100000,14,849,20700000.0,2.3947368421052633,2.2747252747252746,1266666.6666666667,17574300000.0,1
3,1,0,6200000,16700000,10,880,53200000.0,2.693548387096774,3.18562874251497,1550000.0,46816000000.0,1
5,0,1,3500000,9500000,4,664,23000000.0,2.7142857142857144,2.4210526315789473,583333.3333333334,15272000000.0,1
5,1,1,1400000,5000000,2,465,9400000.0,3.5714285714285716,1.88,233333.33333333334,4371000000.0,1
3,0,1,3500000,12000000,2,786,19400000.0,3.4285714285714284,1.6166666666666667,875000.0,15248400000.0,1
1,1,1,600000,2000000,10,326,4500000.0,3.3333333333333335,2.25,300000.0,1467000000.0,0
0,0,0,4100000,10800000,16,399,31500000.0,2.6341463414634148,2.9166666666666665,4100000.0,12568500000.0,0
2,0,1,5400000,11500000,6,841,24600000.0,2.1296296296296298,2.139130434782609,1800000.0,20688600000.0,1
2,0,1,2000000,6700000,14,638,12300000.0,3.35,1.835820895522388,666666.6666666666,7847400000.0,1
4,1,1,3500000,8900000,4,478,23000000.0,2.5428571428571427,2.5842696629213484,700000.0,10994000000.0,0
0,1,1,8300000,30000000,4,600,63900000.0,3.6144578313253013,2.13,8300000.0,38340000000.0,1
0,1,1,6700000,15600000,16,768,31900000.0,2.328358208955224,2.0448717948717947,6700000.0,24499200000.0,1
0,0,0,1900000,6500000,10,523,10800000.0,3.4210526315789473,1.6615384615384616,1900000.0,5648400000.0,0
2,1,1,6500000,20900000,14,327,35800000.0,3.2153846153846155,1.7129186602870814,2166666.6666666665,11706600000.0,0
1,1,1,600000,1800000,8,799,4700000.0,3.0,2.611111111111111,300000.0,3755300000.0,1
5,1,0,7000000,23000000,18,803,56900000.0,3.2857142857142856,2.473913043478261,1166666.6666666667,45690700000.0,1
2,1,0,7700000,15400000,18,524,45600000.0,2.0,2.961038961038961,2566666.6666666665,23894400000.0,0
1,1,0,2600000,6600000,6,506,15900000.0,2.5384615384615383,2.409090909090909,1300000.0,8045400000.0,0
1,1,0,9200000,18800000,2,351,69100000.0,2.0434782608695654,3.675531914893617,4600000.0,24254100000.0,0
2,1,1,1800000,4200000,8,648,12100000.0,2.3333333333333335,2.880952380952381,600000.0,7840800000.0,1
1,0,0,4900000,18500000,4,612,31300000.0,3.7755102040816326,1.691891891891892,2450000.0,19155600000.0,1
1,1,0,5700000,12400000,14,396,36100000.0,2.175438596491228,2.911290322580645,2850000.0,14295600000.0,0
3,0,0,300000,800000,2,458,1800000.0,2.6666666666666665,2.25,75000.0,824400000.0,0
3,1,1,1700000,3400000,6,488,6700000.0,2.0,1.9705882352941178,425000.0,3269600000.0,0
4,1,0,7000000,18900000,6,475,27300000.0,2.7,1.4444444444444444,1400000.0,12967500000.0,0
1,0,0,2200000,7000000,18,417,14300000.0,3.1818181818181817,2.0428571428571427,1100000.0,5963100000.0,0
2,0,0,6800000,18700000,8,781,47600000.0,2.75,2.5454545454545454,2266666.6666666665,37175600000.0,1
1,0,1,2400000,6200000,12,337,17200000.0,2.5833333333333335,2.774193548387097,1200000.0,5796400000.0,0
0,0,1,600000,1800000,12,511,3100000.0,3.0,1.7222222222222223,600000.0,1584100000.0,0
4,1,0,6200000,17300000,6,837,45600000.0,2.7903225806451615,2.6358381502890174,1240000.0,38167200000.0,1
1,0,0,7600000,24600000,12,810,47300000.0,3.236842105263158,1.9227642276422765,3800000.0,38313000000.0,1
2,0,0,4800000,10600000,8,588,28400000.0,2.2083333333333335,2.6792452830188678,1600000.0,16699200000.0,1
5,1,0,4200000,9200000,12,870,23600000.0,2.1904761904761907,2.5652173913043477,700000.0,20532000000.0,1
0,0,1,7200000,20700000,10,733,56700000.0,2.875,2.739130434782609,7200000.0,41561100000.0,1
5,0,1,6400000,20300000,16,348,48200000.0,3.171875,2.374384236453202,1066666.6666666667,16773600000.0,0
0,0,1,8900000,23000000,12,741,51000000.0,2.5842696629213484,2.217391304347826,8900000.0,37791000000.0,1
3,0,0,5100000,14500000,12,306,24000000.0,2.843137254901961,1.6551724137931034,1275000.0,7344000000.0,0
2,1,1,6300000,19500000,18,428,49500000.0,3.0952380952380953,2.5384615384615383,2100000.0,21186000000.0,0
3,1,0,6600000,22100000,4,455,39300000.0,3.3484848484848486,1.7782805429864252,1650000.0,17881500000.0,1
1,0,1,4800000,14700000,2,356,34800000.0,3.0625,2.36734693877551,2400000.0,12388800000.0,1
0,1,0,200000,400000,4,594,1000000.0,2.0,2.5,200000.0,594000000.0,1
0,0,1,7500000,25800000,18,844,34800000.0,3.44,1.3488372093023255,7500000.0,29371200000.0,1
4,1,0,9000000,34700000,4,771,56100000.0,3.8555555555555556,1.61671469740634,1800000.0,43253100000.0,1
2,1,0,5400000,12500000,4,622,34500000.0,2.314814814814815,2.76,1800000.0,21459000000.0,1
1,0,1,1700000,4500000,20,480,8100000.0,2.6470588235294117,1.8,850000.0,3888000000.0,0
4,1,0,4300000,11500000,20,337,39300000.0,2.6744186046511627,3.417391304347826,860000.0,13244100000.0,0
1,1,0,5200000,11200000,6,698,43200000.0,2.1538461538461537,3.857142857142857,2600000.0,30153600000.0,1
4,0,0,4400000,17000000,18,302,22800000.0,3.8636363636363638,1.3411764705882352,880000.0,6885600000.0,0
1,0,1,3900000,7800000,14,349,27100000.0,2.0,3.4743589743589745,1950000.0,9457900000.0,0
0,1,0,1100000,3300000,10,482,7600000.0,3.0,2.303030303030303,1100000.0,3663200000.0,0
2,1,0,2500000,8200000,10,429,13700000.0,3.28,1.670731707317073,833333.3333333334,5877300000.0,0
4,1,0,500000,1300000,8,471,3000000.0,2.6,2.3076923076923075,100000.0,1413000000.0,0
0,1,1,9000000,32400000,10,895,52800000.0,3.6,1.6296296296296295,9000000.0,47256000000.0,1
1,0,1,5100000,20300000,18,757,31800000.0,3.980392156862745,1.5665024630541873,2550000.0,24072600000.0,1
2,1,0,5200000,13500000,2,777,33800000.0,2.5961538461538463,2.5037037037037035,1733333.3333333333,26262600000.0,1
5,0,1,4400000,8900000,4,761,26300000.0,2.022727272727273,2.955056179775281,733333.3333333334,20014300000.0,1
1,1,0,1900000,4200000,12,821,14400000.0,2.210526315789474,3.4285714285714284,950000.0,11822400000.0,1
4,0,1,9200000,26500000,6,662,33600000.0,2.880434782608696,1.2679245283018867,1840000.0,22243200000.0,1
2,0,1,4800000,16500000,10,350,22800000.0,3.4375,1.3818181818181818,1600000.0,7980000000.0,0
4,0,0,4900000,10700000,20,321,19200000.0,2.183673469387755,1.794392523364486,980000.0,6163200000.0,0
3,1,1,4800000,10100000,4,368,34200000.0,2.1041666666666665,3.386138613861386,1200000.0,12585600000.0,0
4,1,0,9300000,24900000,14,455,81300000.0,2.6774193548387095,3.2650602409638556,1860000.0,36991500000.0,0
5,0,1,7500000,24600000,8,744,31200000.0,3.28,1.2682926829268293,1250000.0,23212800000.0,1
1,1,0,5900000,16800000,4,806,50800000.0,2.847457627118644,3.0238095238095237,2950000.0,40944800000.0,1
0,1,0,9400000,27900000,6,456,83300000.0,2.9680851063829787,2.985663082437276,9400000.0,37984800000.0,0
5,1,0,5300000,13400000,8,719,18500000.0,2.5283018867924527,1.3805970149253732,883333.3333333334,13301500000.0,1
4,1,0,3700000,9000000,18,668,25900000.0,2.4324324324324325,2.8777777777777778,740000.0,17301200000.0,1
0,1,1,2500000,5800000,18,494,20300000.0,2.32,3.5,2500000.0,10028200000.0,0
4,0,0,2800000,10800000,2,841,14500000.0,3.857142857142857,1.3425925925925926,560000.0,12194500000.0,1
